project,Sample name,n_ecDNA_amplicons
GBM,TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491,2
GBM,TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486,2
GBM,TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703,2
GBM,TCGA-16-1063-01B-01D-0932-09_MN_10A-01D-0703,2
GBM,TCGA-26-5132-01A-01D-1486-08_MN_10A-01D-1486,2
GBM,TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,1
GBM,TCGA-06-0125-01A-01D-1490-08_MN_10A-01D-1490,1
GBM,TCGA-06-0125-02A-11D-2280-08_MN_10A-01D-1490,1
GBM,TCGA-06-0128-01A-01D-0572-09_MN_10A-01D-0572,1
GBM,TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507,1
GBM,TCGA-06-0152-02A-01D-2280-08_MN_10A-01D-0507,1
GBM,TCGA-06-0185-01A-01D-0507-08_MN_10B-01D-0507,1
GBM,TCGA-06-0190-02A-01D-2280-08_MN_10B-01D-A32W,1
GBM,TCGA-06-0208-01A-01D-0512-09_MN_10A-01D-0512,1
GBM,TCGA-06-0210-02A-01D-2280-08_MN_10A-01D-1491,1
GBM,TCGA-06-0211-02A-02D-2280-08_MN_10A-01D-1491,1
GBM,TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R,1
GBM,TCGA-06-0686-01A-01D-1492-08_MN_10A-01D-1492,1
GBM,TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492,1
GBM,TCGA-06-0745-01A-01D-1492-08_MN_10A-01D-1492,1
GBM,TCGA-06-0877-01A-01D-0512-09_MN_10A-01D-0512,1
GBM,TCGA-06-0881-01A-02D-0512-09_MN_10A-01D-0512,1
GBM,TCGA-06-2570-01A-01D-1495-08_MN_10A-01D-1495,1
GBM,TCGA-06-5411-01A-01D-1696-08_MN_10A-01D-1696,1
GBM,TCGA-14-1402-01A-01D-1493-08_MN_10A-01D-1493,1
GBM,TCGA-14-1402-02A-01D-2280-08_MN_10A-01D-1493,1
GBM,TCGA-14-2554-01A-01D-1494-08_MN_10A-01D-1494,1
